,Nom,Prix(€),Informations Supplementaires,Reference url
0,Aerocool Lux 550W - 550W,44.99,Alimentation PC Certifiée 80+ Bronze,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ali_puis_ref_est_in20000259.html
1,Aerocool Lux 650W - 650W,49.99,Alimentation PC Certifiée 80+ Bronze,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ali_puis_ref_est_in20000258.html
2,Aerocool Lux 750W - 750 W,59.99,Alimentation PC Certifiée 80+ Bronze,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ali_puis_ref_est_in20000257.html
3,Aerocool Lux 850W - 850W,74.99,Alimentation PC Certifiée 80+ Bronze,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ali_puis_ref_est_in20017587.html
4,Aerocool Lux RGB 550M - 550W,54.99,Alimentation PC Certifiée 80+ Bronze - Semi-Modulaire,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ali_puis_ref_est_in20000262.html
5,Aerocool Lux RGB 650M - 650W,64.99,Alimentation PC Certifiée 80+ Bronze - Semi-Modulaire,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ali_puis_ref_est_in20000261.html
6,Aerocool Lux RGB 750M - 750W,74.99,Alimentation PC Certifiée 80+ Bronze - Semi-Modulaire,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ali_puis_ref_est_in20000260.html
7,Aerocool Lux RGB 850M - 850W,84.99,Alimentation PC Certifiée 80+ Bronze - Semi-Modulaire,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ali_puis_ref_est_in20017586.html
8,Antec EA550G PRO - 550W,89.99,Alimentation PC Certifiée 80+ Gold - Semi-modulaire,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ali_puis_ref_est_in20001415.html
9,Antec HCG1000 Gold - 1000W,199.99,Alimentation PC Certifiée 80+ Gold - Modulaire - Semi-passive,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ali_puis_ref_est_in20012263.html
10,Antec NeoECO NE750G M,109.99,Alimentation PC Certifiée 80+ Gold - Modulaire,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ali_puis_ref_est_in20015555.html
11,Antec NeoECO NE850G M - 850W,124.99,Alimentation PC Certifiée 80+ Gold - Modulaire,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ali_puis_ref_est_in20015636.html
12,Antec Signature Platinum - 1000W,229.99,Alimentation PC Certifiée 80+ Platinum - Modulaire - Semi-passive,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ali_puis_ref_est_in20016613.html
13,Antec Signature Titanium - 1000W,249.99,Alimentation PC Certifiée 80+ Titanium - Modulaire - Semi-passive,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ali_puis_ref_est_in20016614.html
14,Asus ROG Loki SFX-L - 1000W,329.99,Alimentation pour mini-PC et media-centers (SFX-L) - Certifiée 80+ Platinum - Modulaire - Semi-passive - ATX 3.0,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ali_puis_ref_est_in20017435.html
15,Asus ROG Loki SFX-L - 750W,239.99,Alimentation pour mini-PC et media-centers (SFX-L) - Certifiée 80+ Platinum - Modulaire - Semi-passive - ATX 3.0,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ali_puis_ref_est_in20017433.html
16,Asus ROG Loki SFX-L - 850W,269.99,Alimentation pour mini-PC et media-centers (SFX-L) - Certifiée 80+ Platinum - Modulaire - Semi-passive - ATX 3.0,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ali_puis_ref_est_in20017434.html
17,Asus ROG STRIX Gold Aura Edition - 1000W,299.99,Alimentation PC Certifiée 80+ Gold - Modulaire - Semi-passive - ATX 3.0,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ali_puis_ref_est_in20017438.html
18,Asus ROG STRIX Gold Aura Edition - 750W,264.99,Alimentation PC Certifiée 80+ Gold - Modulaire - Semi-passive - ATX 3.0,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ali_puis_ref_est_in20017436.html
19,Asus ROG STRIX Gold Aura Edition - 850W,279.99,Alimentation PC Certifiée 80+ Gold - Modulaire - Semi-passive - ATX 3.0,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ali_puis_ref_est_in20017437.html
20,Asus TUF Gaming Gold - 1000W,229.99,Alimentation PC Certifiée 80+ Gold - Modulaire - ATX 3.0,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ali_puis_ref_est_in20017432.html
21,Asus TUF Gaming Gold - 750W,169.99,Alimentation PC Certifiée 80+ Gold - Modulaire - ATX 3.0,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ali_puis_ref_est_in20017430.html
22,Asus TUF Gaming Gold - 850W,199.99,Alimentation PC Certifiée 80+ Gold - Modulaire - ATX 3.0,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ali_puis_ref_est_in20017431.html
23,be quiet! Dark Power 12 - 850W,239.99,Alimentation PC Certifiée 80+ Titanium - Modulaire,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ali_puis_ref_est_in20008114.html
