,Nom,Prix(€),Informations Supplementaires,Reference url
0,Asus ROG Azoth (AZERTY) + 50 € remboursés avec Asus,289.99,Clavier mécanique gamer - Format 75 % - Switchs ROG NX Red - Ecran OLED - Kit de lubrification de switch - RGB,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccla_puis_ref_est_in20016727.html
1,Asus ROG Claymore II (RX Red) (AZERTY) + 30 € remboursés avec Asus,269.99,Clavier Gamer mécanique - Rétroéclairage RGB - Switches RX Red - Filaire & Sans fil - Repose-poignets détachable,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccla_puis_ref_est_in20008571.html
2,Asus ROG Falchion (Cherry MX Red) (AZERTY) + 30 € remboursés avec Asus,164.99,Clavier Gamer mécanique - sans fil - Rétroéclairage 16.8 millions de couleurs touche par touche - Switches Cherry MX Red,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccla_puis_ref_est_in20008433.html
3,Asus ROG Falchion ACE - Blanc (AZERTY) + 30 € remboursés avec Asus,159.99,Clavier gaming filaire - Format 65 % dans un cadre à 60 % - Switchs mécaniques ROG NX Red - Ecran tactile interactif - RGB,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccla_puis_ref_est_in20016489.html
4,Asus ROG Falchion ACE - Noir (AZERTY) + 30 € remboursés avec Asus,159.99,Clavier gaming filaire - Format 65 % dans un cadre à 60 % - Switchs mécaniques ROG NX Red - Ecran tactile interactif - RGB,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccla_puis_ref_est_in20016488.html
5,Asus ROG Strix Flare II (Switchs ROG NX Red) (AZERTY) + 30 € remboursés avec Asus,179.99,Clavier Gamer mécanique - Rétroéclairage 16.8M de couleurs - Switches ROG NX Red,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccla_puis_ref_est_in20013115.html
6,Asus ROG Strix Flare II Animate (Switchs ROG NX Red) (AZERTY) + 40 € remboursés avec Asus,219.99,Clavier Gamer mécanique - Rétroéclairage 16.8M de couleurs - Switches ROG NX Red,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccla_puis_ref_est_in20012848.html
7,ASUS ROG Strix Scope NX TKL Moonlight White (Switch ROG NX Red) (AZERTY) + 30 € remboursés avec Asus,159.99,Clavier Gamer mécanique - Rétroéclairage 16.8M de couleurs - Switch ROG NX Red - TKL,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccla_puis_ref_est_in20012838.html
8,Asus ROG Strix Scope NX Wireless Deluxe (Switchs ROG NX Red) (AZERTY) + 30 € remboursés avec Asus,149.99,Clavier Gamer mécanique - Rétroéclairage 16.8M de couleurs - Sans Fil,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccla_puis_ref_est_in20013117.html
9,Asus ROG Strix Scope RK TKL Wireless Deluxe (Switch ROG RX Red) (AZERTY) + 30 € remboursés avec Asus,179.99,Clavier Gamer mécanique - Rétroéclairage 16.8M de couleurs - Sans Fil,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccla_puis_ref_est_in20013116.html
10,Asus ROG Strix Scope RX (AZERTY) (Switch Asus RX Red),139.99,Clavier Gamer mécanique - Rétroéclairage 16.8M de couleurs - Switches RX Red,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccla_puis_ref_est_in20006265.html
11,Asus ROG Strix Scope TKL (Switch Brown) (AZERTY),169.99,Clavier Gamer mécanique - Rétroéclairage 16.8M de couleurs - Switches MX Brown - TKL,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccla_puis_ref_est_in20003675.html
12,ASUS TUF Gaming K1 (AZERTY),59.99,Clavier Gamer - Rétroéclairage RGB - Résistant aux éclaboussures,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccla_puis_ref_est_in20004316.html
13,ASUS TUF Gaming K3 (Khail Brown) (AZERTY),99.99,Clavier Gamer Mécanique - Rétroéclairage RGB - Switch Khail Brown,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccla_puis_ref_est_in20004327.html
14,Corsair Gaming K70 RGB Pro - (Cherry MX Red) (AZERTY),219.99,Clavier Gamer mécanique - Rétroéclairage 16.8 M de couleurs - Switches Cherry MX Red,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccla_puis_ref_est_in20012150.html
15,Corsair Gaming K70 RGB Pro - (Cherry MX Speed) (AZERTY),219.99,Clavier Gamer mécanique - Rétroéclairage 16.8 M de couleurs - Switches Cherry MX Speed,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccla_puis_ref_est_in20012151.html
16,Corsair Gaming K70 RGB TKL Champion Series (OPX) (AZERTY),159.99,Clavier Gamer optique mécanique - RGB - Switches Corsair OPX - Format TKL,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccla_puis_ref_est_in20013063.html
17,Corsair K100 AIR (AZERTY),329.99,Clavier Gamer mécanique sans fil - Slipstream wireless / Bluetooth / USB - Switchs Cherry MX ULP - RGB,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccla_puis_ref_est_in20015090.html
18,Corsair K55 RGB PRO (AZERTY),64.99,Clavier Gamer - Rétroéclairage 16.8M de couleurs - Anti-ghosting,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccla_puis_ref_est_in20007951.html
19,Corsair K55 RGB PRO XT (AZERTY),79.99,Clavier Gamer - Rétroéclairage 16.8M de couleurs par touche - Anti-ghosting,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccla_puis_ref_est_in20007952.html
20,Corsair K57 RGB Wireless (AZERTY),109.99,Clavier Gamer - Rétroéclairage 16.8 M de couleurs - Sans-Fil,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccla_puis_ref_est_in11017868.html
21,Corsair K60 Pro TKL (AZERTY),149.99,Clavier Gamer optique-mécanique - Format TKL - Switchs Corsair OPX - Rétroéclairage RGB,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccla_puis_ref_est_in20014779.html
22,Corsair K60 RGB Pro (Switch Cherry Viola) (AZERTY),129.99,Clavier Gamer mécanique - Rétroéclairage 16.8M de couleurs touche par touche - Switches RGB Cherry Viola - Port USB 2.0,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccla_puis_ref_est_in20005634.html
23,Corsair K65 Mini - Blanc (MX Red) (AZERTY),129.99,Clavier Gamer mécanique - Rétroéclairage 16.8M de couleurs touche par touche - Switches Cherry MX Red,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccla_puis_ref_est_in20010790.html
24,Corsair K65 Mini (MX Red) (AZERTY),139.99,Clavier Gamer mécanique - Rétroéclairage 16.8M de couleurs touche par touche - Switches Cherry MX Red,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccla_puis_ref_est_in20007953.html
25,Corsair K70 Pro Blanc (AZERTY),219.99,Clavier Gamer optique-mécanique - Switchs Corsair OPX - Touches PBT - Repose-poignet - Rétroéclairage RGB,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccla_puis_ref_est_in20014778.html
26,Corsair K70 PRO Mini Wireless RGB (MX RED) (AZERTY),189.99,Clavier Gamer mécanique sans fil - Format 60 % -  Corsair Slipstream - RGB - Switchs Cherry MX Red,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccla_puis_ref_est_in20014508.html
27,Corsair K70 Pro Noir (AZERTY),219.99,Clavier Gamer optique-mécanique - Switchs Corsair OPX - Touches PBT - Repose-poignet - Rétroéclairage RGB,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccla_puis_ref_est_in20014777.html
