,nom_alim,prix_alim,nom_boitier,prix_boitier,nom_ssd,prix_ssd,nom_watercooling,prix_watercooling,prix_total
0,Aerocool Lux 550W - 550W,44.99,Aerocool Blade - Noir,59.99,Corsair Force MP600 GS 500 Go,62.99,be quiet! Pure Rock Slim 2,27.99,195.96
1,Aerocool Lux 550W - 550W,44.99,Aerocool Blade - Noir,59.99,Crucial BX500 1 To,63.99,be quiet! Pure Rock Slim 2,27.99,196.96
2,Aerocool Lux 550W - 550W,44.99,Aerocool Blade - Noir,59.99,Crucial P3 1 To,51.99,Aerocool Cylon 3H,39.99,196.96
3,Aerocool Lux 550W - 550W,44.99,Aerocool Blade - Noir,59.99,Crucial P3 1 To,51.99,Aerocool Cylon 4,39.99,196.96
4,Aerocool Lux 550W - 550W,44.99,Aerocool Blade - Noir,59.99,Crucial P3 1 To,51.99,Aerocool Cylon 4 - Blanc,42.99,199.96
5,Aerocool Lux 550W - 550W,44.99,Aerocool Blade - Noir,59.99,Crucial P3 1 To,51.99,Aerocool Mirage 5,44.99,201.96
6,Aerocool Lux 550W - 550W,44.99,Aerocool Blade - Noir,59.99,Crucial P3 1 To,51.99,AMD Wraith Prism,39.99,196.96
7,Aerocool Lux 550W - 550W,44.99,Aerocool Blade - Noir,59.99,Crucial P3 1 To,51.99,Antec A400i RGB,36.99,193.96
8,Aerocool Lux 550W - 550W,44.99,Aerocool Blade - Noir,59.99,Crucial P3 1 To,51.99,Antec C400,39.99,196.96
9,Aerocool Lux 550W - 550W,44.99,Aerocool Blade - Noir,59.99,Crucial P3 1 To,51.99,Arctic Freezer A35 A-RGB,34.99,191.96
10,Aerocool Lux 550W - 550W,44.99,Aerocool Blade - Noir,59.99,Crucial P3 1 To,51.99,Arctic Freezer i35 A-RGB,34.99,191.96
11,Aerocool Lux 550W - 550W,44.99,Aerocool Blade - Noir,59.99,Crucial P3 1 To,51.99,be quiet! Pure Rock 2 Black,41.99,198.96
12,Aerocool Lux 550W - 550W,44.99,Aerocool Blade - Noir,59.99,Crucial P3 1 To,51.99,be quiet! Pure Rock Slim 2,27.99,184.96
13,Aerocool Lux 550W - 550W,44.99,Aerocool Blade - Noir,59.99,Crucial P3 1 To,51.99,Cooler Master Hyper 212 Black Edition (Compatible Socket LGA 1700),42.99,199.96
14,Aerocool Lux 550W - 550W,44.99,Aerocool Blade - Noir,59.99,Crucial P3 1 To,51.99,Cooler Master Hyper 212 EVO,39.99,196.96
15,Aerocool Lux 550W - 550W,44.99,Aerocool Blade - Noir,59.99,Crucial P3 1 To,51.99,Cooler Master Hyper 212 Halo - Blanc,37.99,194.96
16,Aerocool Lux 550W - 550W,44.99,Aerocool Blade - Noir,59.99,Crucial P3 1 To,51.99,Cooler Master Hyper 212 Halo - Noir,37.99,194.96
17,Aerocool Lux 550W - 550W,44.99,Aerocool Blade - Noir,59.99,Crucial P3 1 To,51.99,DeepCool AK400,39.99,196.96
