,Nom,Prix(€),Informations Supplementaires,Reference url
0,Corsair Vengeance RGB PRO - Blanc (kit d'éclairage),44.99,Kit de 2 barrettes factices - LED RGB,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wme_ddr4_puis_ref_est_in10118574.html
1,Corsair Vengeance RGB PRO - Noir (kit d'éclairage),39.99,Kit de 2 barrettes factices - LED RGB,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wme_ddr4_puis_ref_est_in10118573.html
2,DDR4 Corsair Dominator Platinum - 32 Go (2 x 16 Go) 3600 MHz - CAS 18,213.97,Kit Dual Channel - Mémoire DDR4 optimisée Intel et AMD - PC-28800 - LED RGB,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wme_ddr4_puis_ref_est_in20005979.html
3,DDR4 Corsair Dominator Platinum RGB - 128 Go (4 x 32 Go) 3600 MHz - CAS 18,673.6,Kit Quad Channel - Mémoire DDR4 optimisée Intel et AMD - PC-28800,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wme_ddr4_puis_ref_est_in20011312.html
4,DDR4 Corsair Dominator Platinum RGB - 16 Go (2 x 8 Go) 3200 MHz - CAS 16,126.16,Kit Dual Channel - Mémoire DDR4 optimisée Intel et AMD - PC-25600 - LED RGB,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wme_ddr4_puis_ref_est_in20009236.html
5,DDR4 Corsair Dominator Platinum RGB - 16 Go (2 x 8 Go) 3200 MHz - CAS 16,138.36,Kit Dual Channel - Mémoire DDR4 optimisée Intel et AMD - PC-25600 - LED RGB,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wme_ddr4_puis_ref_est_in20000501.html
6,DDR4 Corsair Dominator Platinum RGB - 16 Go (2 x 8 Go) 3600 MHz - CAS 18,132.35,Kit Dual Channel - Mémoire DDR4 optimisée Intel et AMD - PC-28800 - LED RGB,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wme_ddr4_puis_ref_est_in20008594.html
7,DDR4 Corsair Dominator Platinum RGB - 16 Go (2 x 8 Go) 4000 MHz - CAS 18,229.77,Kit Dual Channel - Mémoire DDR4 optimisée Intel et AMD - PC-32000 - LED RGB,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wme_ddr4_puis_ref_est_in20011311.html
8,DDR4 Corsair Dominator Platinum RGB - 16 Go (2 x 8 Go) 4000 MHz - CAS 19,215.39,Kit Dual Channel - Mémoire DDR4 optimisée Intel et AMD - PC-32000 - LED RGB,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wme_ddr4_puis_ref_est_in20000465.html
9,DDR4 Corsair Dominator Platinum RGB - 32 Go (2 x 16 Go) 3200 MHz - CAS 16,195.44,Kit Dual Channel - Mémoire DDR4 optimisée Intel et AMD - PC-25600 - LED RGB,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wme_ddr4_puis_ref_est_in20009234.html
10,DDR4 Corsair Dominator Platinum RGB - 32 Go (2 x 16 Go) 3200 MHz - CAS 16,195.89,Kit Dual Channel - Mémoire DDR4 optimisée Intel et AMD - PC-25600 - LED RGB,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wme_ddr4_puis_ref_est_in10117330.html
