,Nom,Prix(€),Informations Supplementaires,Reference url
0,Acer CB242Ybmiprx FreeSync,169.99,"Moniteur 23.8"" IPS 75 Hz - Full HD - 1 ms - HDMI / VGA / DisplayPort - HP intégrés - FreeSync",https://www.topachat.com/pages/detail2_cat_est_peripheriques_puis_rubrique_est_w_moni_puis_ref_est_in20001565.html
1,Acer CB273UBEMIPRUZX,329.99,"Moniteur 27"" IPS LED 75 Hz - 2560 x 1440 (QHD) - HDR10 - 1 ms - HDMI / DisplayPort / USB-C - Bords extra-fins - Hub USB",https://www.topachat.com/pages/detail2_cat_est_peripheriques_puis_rubrique_est_w_moni_puis_ref_est_in20016176.html
2,Acer ED270Xbiipx Adaptive Sync (dalle incurvée),224.99,"Moniteur 27"" VA 240 Hz - Full HD - 4 ms - DisplayPort / HDMI (x2) - Bords extra-fins",https://www.topachat.com/pages/detail2_cat_est_peripheriques_puis_rubrique_est_w_moni_puis_ref_est_in20006706.html
3,Acer Nitro VG240YSbmiipx FreeSync,184.99,"Moniteur 23.8"" IPS LED 165 Hz - Full HD - 1 ms - DisplayPort / HDMI (x2) - HP intégrés - Bords extra-fins",https://www.topachat.com/pages/detail2_cat_est_peripheriques_puis_rubrique_est_w_moni_puis_ref_est_in20008139.html
4,Acer Nitro VG270Sbmiipx FreeSync,239.99,"Moniteur 27"" IPS LED 165 Hz - HDR - Full HD - 2 ms - DisplayPort / HDMI (x2) - HP intégrés - Bords extra-fins",https://www.topachat.com/pages/detail2_cat_est_peripheriques_puis_rubrique_est_w_moni_puis_ref_est_in20008135.html
5,Acer Nitro XV253QPbmiiprzx Adaptive Sync,219.99,"Moniteur 24,5"" IPS 144 Hz - HDR 400 - Full HD - 2 ms - DisplayPort / HDMI (x2) - Pied réglable + Rotation - HP intégrés - Bords extra-fins - Hub USB 3.0 - Compatible G-Sync",https://www.topachat.com/pages/detail2_cat_est_peripheriques_puis_rubrique_est_w_moni_puis_ref_est_in20006700.html
6,Acer Nitro XV272UXbmiipruzx FreeSync,669.99,"Moniteur 27"" IPS LED 270 Hz - HDR 400 - 2560 x 1440 px (QHD) - 1 ms - DisplayPort / HDMI (x2) / USB-C - Bords extra-fins - Pied réglable + Rotation - HP intégrés - Hub USB 3.0",https://www.topachat.com/pages/detail2_cat_est_peripheriques_puis_rubrique_est_w_moni_puis_ref_est_in20006698.html
7,Acer Nitro XV273Xbmiiprzx Adaptive Sync,369.99,"Moniteur 27"" IPS LED 240 Hz - Full HD - 1 ms - HDR 400 - DisplayPort / HDMI - Pied réglable + Rotation - Hub USB 3.0 - Compatible G-sync",https://www.topachat.com/pages/detail2_cat_est_peripheriques_puis_rubrique_est_w_moni_puis_ref_est_in11017940.html
8,Acer Nitro XZ322QUPbmiiphx FreeSync (dalle incurvée),429.99,"Moniteur 31,5"" VA 165 Hz - HDR 400 - 2560 x 1440 px (QHD) - 1 ms - DisplayPort / HDMI (x2) - Pied réglable - HP intégrés - Bords extra-fins",https://www.topachat.com/pages/detail2_cat_est_peripheriques_puis_rubrique_est_w_moni_puis_ref_est_in20008138.html
9,Alienware AW2521H G-Sync,629.99,"Moniteur 24,5"" IPS 360 Hz - Full HD - 1 ms - DisplayPort / HDMI (x2) - Pied réglable + Rotation - Bords extra-fins - Hub USB 3.0",https://www.topachat.com/pages/detail2_cat_est_peripheriques_puis_rubrique_est_w_moni_puis_ref_est_in20006543.html
