,Nom,Prix(€),Informations Supplementaires,Reference url
0,Acer Predator Frostblade - 120 mm,24.99,Ventilateur boitier - 600 - 1800 RPM - 30 dB - Jusqu'à 49.10 CFM,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_tu_ven_puis_ref_est_in20008200.html
1,Aerocool Astro 12 - 120 mm,11.99,Ventilateur boitier - 1000  RPM - 17.5  dB - 42.1 CFM,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_tu_ven_puis_ref_est_in20001989.html
2,Aerocool Astro 12 Pro - 120 mm (Pack de 3),34.99,Ventilateur boitier - 1000  RPM - 17.5  dB - 42.1 CFM,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_tu_ven_puis_ref_est_in20001990.html
3,Aerocool Astro 240 - 240 mm,27.99,Ventilateur boitier - 1000 RPM - 17.8 dB - 80.3 CFM,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_tu_ven_puis_ref_est_in20001988.html
4,Aerocool Cosmo 12,5.99,Ventilateur boitier - 1000 RPM - 23.9 dB - 26.2 CFM,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_tu_ven_puis_ref_est_in20005710.html
5,Aerocool Duo 12 - 120 mm,9.99,Ventilateur boitier - PWM - Jusqu'à 1000 RPM - 19.7 dB - Jusqu'à 33.4 CFM,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_tu_ven_puis_ref_est_in20003814.html
6,Aerocool Duo 12 Pro - 120 mm (Pack de 3) + Contrôleur H66F,34.99,Ventilateur boitier - PWM - Jusqu'à 1000 RPM - 19.7 dB - Jusqu'à 33.4 CFM,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_tu_ven_puis_ref_est_in20003813.html
7,Aerocool Duo 14 - 140 mm,12.99,Ventilateur boitier - PWM - Jusqu'à 1000 RPM - 23.2 dB - Jusqu'à 49.5 CFM,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_tu_ven_puis_ref_est_in20006596.html
8,Aerocool Duo 20 - 200 mm,19.99,Ventilateur boitier - 700 RPM - 18.3 dB - 62.1 CFM,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_tu_ven_puis_ref_est_in11021589.html
9,Aerocool Eclipse 12 - 120 mm,8.99,Ventilateur boitier - PWM - 1200 RPM - 19.8 dB - 32.1 CFM,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_tu_ven_puis_ref_est_in11018506.html
10,Aerocool Frost 12 - 120 mm,4.99,Ventilateur boitier - 1000 RPM - 23.7 dB - 24.8 CFM,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_tu_ven_puis_ref_est_in11018503.html
11,Aerocool Frost 12 PWM - 120 mm,6.99,Ventilateur boitier - PWM - 500 à 1500 RPM - 18.2 à 27.5 dB - 17.3 à 28.2 CFM,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_tu_ven_puis_ref_est_in11018504.html
12,Aerocool Frost 14 - 140 mm,5.99,Ventilateur boitier - 800 RPM - 24.2 dB - 33.4 CFM,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_tu_ven_puis_ref_est_in11018505.html
13,Aerocool Mirage 12,12.99,Ventilateur boitier - 1300 RPM - 17.8 dB - 45.7 CFM,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_tu_ven_puis_ref_est_in20006288.html
14,Aerocool Mirage 12 Pro,54.99,Ventilateur boitier - 1300 RPM - 17.8 dB - 45.7 CFM,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_tu_ven_puis_ref_est_in20006287.html
15,Aerocool Motion 12 Plus - 120 mm,5.99,Ventilateur boitier - 1200 RPM - 22.1 dB - 29.8 CFM,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_tu_ven_puis_ref_est_in10114815.html
16,Aerocool Saturn 12F ARGB,9.99,Ventilateur boitier - 1000 RPM - 19.6 dB - 35.8 CFM,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_tu_ven_puis_ref_est_in20004664.html
17,Aerocool Saturn 12F ARGB Pro,37.99,Ventilateur boitier - 1000 RPM - 19.6 dB - 35.8 CFM,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_tu_ven_puis_ref_est_in20004665.html
18,Antec Fusion ARGB - 120 mm - Blanc,19.99,"Ventilateur boîtier - PWM - 2000 RPM - 31,24 dB - 57,93 CFM",https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_tu_ven_puis_ref_est_in20014722.html
19,Antec Fusion ARGB - 120 mm - Blanc (Pack de 3),99.99,"Ventilateur boîtier - PWM - 2000 RPM - 31,24 dB - 57,93 CFM",https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_tu_ven_puis_ref_est_in20014724.html
20,Antec Fusion ARGB - 120 mm - Noir,19.99,"Ventilateur boîtier - PWM - 2000 RPM - 31,24 dB - 57,93 CFM",https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_tu_ven_puis_ref_est_in20014721.html
21,Antec Fusion ARGB - 120 mm - Noir (Pack de 3),69.99,"Ventilateur boîtier - PWM - 2000 RPM - 31,24 dB - 57,93 CFM",https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_tu_ven_puis_ref_est_in20014723.html
22,Antec P12 PWM - 120 mm,8.99,"Ventilateur boîtier - PWM - 550 à 1400 RPM - 34,4 dB - 60,4 CFM",https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_tu_ven_puis_ref_est_in20014719.html
23,Antec P12 PWM - 120 mm (Pack de 3),22.99,"Ventilateur boîtier - PWM - 550 à 1400 RPM - 34,4 dB - 60,4 CFM",https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_tu_ven_puis_ref_est_in20014720.html
24,Antec Prizm 120 ARGB - 120 mm,16.99,Ventilateur boitier - PWM - 600 à 2000 RPM - 32.6 dB - 45.03 CFM,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_tu_ven_puis_ref_est_in20002465.html
25,Antec Prizm X 120 ARGB 3+C - 120 mm (Pack de 3),59.99,Ventilateur boitier - PWM - 500 à 2000 RPM - 32.6 dB - 45.21 CFM,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_tu_ven_puis_ref_est_in20012654.html
26,Antec Storm 120 (Pack de 3),49.99,"Ventilateur boîtier - PWM - 600 à 2000 RPM - 34,9 dB - 66,56 CFM",https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_tu_ven_puis_ref_est_in20014368.html
27,Arctic BioniX F120 Blanc - 120 mm,12.99,Ventilateur boitier - PWM - 200 à 1800 RPM - 27 dB - 69 CFM,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_tu_ven_puis_ref_est_in10110160.html
28,Arctic BioniX F140 Blanc - 140 mm,14.99,Ventilateur boitier - PWM - 200 à 1800 RPM - 27 dB - 104 CFM,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_tu_ven_puis_ref_est_in10110171.html
29,Arctic BioniX P120 A-RGB - 120 mm,24.99,Ventilateur boitier - PWM - 400 à 2300 RPM - 24 dB - 48 CFM,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_tu_ven_puis_ref_est_in20006875.html
30,Arctic BioniX P120 A-RGB Bundle - 120 mm,74.99,Ventilateur boitier - PWM - 400 à 2300 RPM - 24 dB - 48 CFM,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_tu_ven_puis_ref_est_in20006876.html
31,Arctic F12 - 120 mm - Noir,6.99,Ventilateur boitier - 1350 RPM - 22.5 dB - 53 CFM,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_tu_ven_puis_ref_est_in20011216.html
32,Arctic F12 PWM - 120 mm - Noir,7.9,Ventilateur boitier - PWM - 200 à 1800 RPM - 22.5 dB - 56.3 CFM,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_tu_ven_puis_ref_est_in20006870.html
33,Arctic F12 PWM PST CO - 120 mm - Noir,8.99,Ventilateur boitier - PWM - 200 à 1800 RPM - 22.5 dB - 56.3 CFM,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_tu_ven_puis_ref_est_in20007477.html
