,Nom,Prix(€),Informations Supplementaires,Reference url
0,Aerocool Mirage L120 - 120 mm,79.99,Watercooling autonome - PWM - Socket AMD AM5 / AM4 / AM3(+) / AM2(+) / FM2(+) / FM1 et Intel 2066 / 2011(-V3) / 1200 / 115x / 775,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_reliq_puis_ref_est_in20006885.html
1,Aerocool Mirage L240 - 240 mm,104.99,Watercooling autonome - PWM - Socket AMD AM5 / AM4 / AM3(+) / AM2(+) / FM2(+) / FM1 et Intel 2066 / 2011(-V3) / 1200 / 115X / 775,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_reliq_puis_ref_est_in20006884.html
2,Aerocool Mirage L240 Blanc - 240 mm,104.99,Watercooling autonome - PWM - Socket AMD AM5 / AM4 / AM3(+) / AM2(+) / FM2(+) / FM1 et Intel 2066 / 2011(-V3) / 1200 / 115X / 775,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_reliq_puis_ref_est_in20008888.html
3,Aerocool Mirage L360 - 360 mm,124.99,Watercooling autonome - PWM - Socket AMD AM5 / AM4 / AM3(+) / AM2(+) / FM2(+) / FM1 et Intel 2066 / 2011(-V3) / 1200 / 115X / 775,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_reliq_puis_ref_est_in20006883.html
4,Aerocool Mirage L360 Blanc - 360 mm,124.99,Watercooling autonome - PWM - Socket AMD AM5 / AM4 / AM3(+) / AM2(+) / FM2(+) / FM1 et Intel 2066 / 2011(-V3) / 1200 / 115X / 775,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_reliq_puis_ref_est_in20008889.html
5,Antec Symphony 240 ARGB,89.99,Watercooling autonome - PWM - Socket AMD AM4 / AM3(+) / AM2(+) / FM2(+) / FM1 et Intel 2066 / 2011(-V3) / 1366 / 115x / 1200,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_reliq_puis_ref_est_in20013188.html
6,Antec Symphony 360 ARGB,114.99,Watercooling autonome - PWM - Socket AMD AM4 / AM3(+) / AM2(+) / FM2(+) / FM1 et Intel 2066 / 2011(-V3) / 1366 / 115x / 1200,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_reliq_puis_ref_est_in20013189.html
7,Antec Vortex 240 ARGB - 240 mm,99.99,Watercooling autonome - PWM - Socket AMD AM5 / AM4 / AM3(+) et Intel 2066 / 2011(-V3) / 1700 / 1200 / 115x,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_reliq_puis_ref_est_in20014649.html
8,Antec Vortex 360 ARGB - 360 mm,129.99,Watercooling autonome - PWM - Socket AMD  AM5 / AM4 / AM3(+) et Intel 2066 / 2011(-V3) / 1700 / 1200 / 115x,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_reliq_puis_ref_est_in20014650.html
9,Arctic Liquid Freezer II 240 - 240 mm,99.99,Watercooling autonome - PWM - Socket AMD AM5 / AM4 et Intel 2066 / 2011(-V3) / 115x / 1200 / 1700,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_reliq_puis_ref_est_in20001979.html
10,Arctic Liquid Freezer II 240 A-RGB - 240 mm,117.99,Watercooling autonome - PWM - Socket AMD AM5 / AM4 et Intel 2066 / 2011(-V3) / 115x / 1200 / 1700,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_reliq_puis_ref_est_in20009325.html
11,Arctic Liquid Freezer II 240 RGB - 240 mm + Contrôleur RGB,119.99,Watercooling autonome - PWM - Socket AMD AM5 / AM4 et Intel 2066 / 2011(-V3) / 115x / 1200 / 1700,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_reliq_puis_ref_est_in20011224.html
12,Arctic Liquid Freezer II 280 - 280 mm,104.99,Watercooling autonome - PWM - Socket AMD AM5 / AM4 et Intel 2066 / 2011(-V3) / 115x / 1200 / 1700,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_reliq_puis_ref_est_in20001978.html
13,Arctic Liquid Freezer II 280 A-RGB - 280 mm,129.99,Watercooling autonome - PWM - Socket AMD AM4 / AM5 et Intel 2066 / 2011(-V3) / 115x / 1200 / 1700,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_reliq_puis_ref_est_in20011223.html
14,Arctic Liquid Freezer II 280 RGB - 280 mm + Contrôleur RGB,129.99,Watercooling autonome - PWM - Socket AMD AM5 / AM4 et Intel 2066 / 2011(-V3) / 115x / 1200 / 1700,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_reliq_puis_ref_est_in20011221.html
15,Arctic Liquid Freezer II 360 - 360 mm,109.99,Watercooling autonome - PWM - Socket AMD AM5 / AM4 et Intel 2066 / 2011(-V3) / 115x / 1200 / 1700,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_reliq_puis_ref_est_in20001977.html
16,Arctic Liquid Freezer II 360 A-RGB - 360 mm,129.99,Watercooling autonome - PWM - Socket AMD AM5 / AM4 et Intel 2066 / 2011(-V3) / 115x / 1200 / 1700,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_reliq_puis_ref_est_in20009324.html
17,Arctic Liquid Freezer II 420 - 420 mm,137.99,Watercooling autonome - PWM - Socket AMD AM5 / AM4 et Intel 2066 / 2011(-V3) / 115x / 1200 / 1700,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_reliq_puis_ref_est_in20005831.html
18,Arctic Liquid Freezer II 420 A-RGB - 420 mm,144.99,Watercooling autonome - PWM - Socket AMD AM5 / AM4 et Intel 2066 / 2011(-V3) / 115x / 1200 / 1700,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_reliq_puis_ref_est_in20011219.html
19,Asus ROG RYUJIN II - 240 mm,269.99,Watercooling autonome - PWM - Socket AMD TRX4 / TR4 / AM4 et Intel 2066 / 2011(-V3) / 115x / 1200 / 1700,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_reliq_puis_ref_est_in20011766.html
20,Asus ROG RYUJIN II - 360 mm,329.99,Watercooling autonome - PWM - Socket AMD TRX4 / TR4 / AM4 et Intel 2066 / 2011(-V3) / 115x / 1200 / 1700,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_reliq_puis_ref_est_in20011767.html
21,Asus ROG RYUJIN II ARGB - 240 mm,269.99,Watercooling autonome - PWM - Socket AMD TRX4 / TR4 / AM4 et Intel 2066 / 2011(-V3) / 115x / 1200 / 1700,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_reliq_puis_ref_est_in20013694.html
22,Asus ROG RYUJIN II ARGB V2 - 360 mm,349.99,Watercooling autonome - PWM - Socket AMD TRX4 / TR4 / AM4 / AM5 et Intel 2066 / 2011(-V3) / 115x / 1200 / 1700,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_reliq_puis_ref_est_in20017079.html
23,Asus ROG RYUO - 240 mm,156.99,Watercooling autonome - PWM - Socket AMD TRX4 / TR4 / AM4 et Intel 2066 / 2011(-V3) / 1366 / 115x / 1200,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_reliq_puis_ref_est_in10117701.html
24,Asus ROG RYUO III ARGB - 240 mm,279.99,Watercooling autonome - PWM - Socket AMD AM4 / AM5 et Intel LGA 115x / 1200 / 1700,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_reliq_puis_ref_est_in20015667.html
25,Asus ROG RYUO III ARGB - 360 mm + 50€ remboursés avec Asus,339.99,Watercooling autonome - PWM - Socket AMD AM4 / AM5 et Intel LGA 115x / 1200 / 1700,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_reliq_puis_ref_est_in20015666.html
