ref,Chargescomprises:,Classeénergie:,Codepostal:,GES:,Loyermensuel:,Meublé/Nonmeublé:,Pièces:,Référence:,Surface:,Typedebien:,Ville:,ref
710178415,,C (de 91 &agrave; 150),35000,C (de 11 &agrave; 20),300.0,Meublé,2,,20 m,Appartement,Rennes,710178415
710173363,,,35000,,315.0,Non meublé,1,,22 m,Appartement,Rennes,710173363
710154903,,Vierge,35000,Vierge,579.0,Non meublé,2,,38 m,Appartement,Rennes,710154903
710154314,,C (de 91 &agrave; 150),35000,D (de 21 &agrave; 35),490.0,Non meublé,,,40 m,Appartement,Rennes,710154314
683818358,,C (de 91 &agrave; 150),35000,C (de 11 &agrave; 20),690.0,Non meublé,4,,76 m,Appartement,Rennes,683818358
710130918,,D (de 151 &agrave; 230),35000,C (de 11 &agrave; 20),872.0,Non meublé,4,,93 m,Appartement,Rennes,710130918
704681882,,D (de 151 &agrave; 230),35000,E (de 36 &agrave; 55),900.0,Meublé,4,,80 m,Appartement,Rennes,704681882
710105672,,E (de 231 &agrave; 330),35000,C (de 11 &agrave; 20),395.0,Non meublé,1,,25 m,Appartement,Rennes,710105672
710095342,,C (de 91 &agrave; 150),35000,C (de 11 &agrave; 20),1370.0,Non meublé,4,,100 m,Appartement,Rennes,710095342
693465306,,Vierge,35000,Vierge,760.0,Non meublé,3,,63 m,Appartement,Rennes,693465306
710091472,,A (moins de 50),35000,C (de 11 &agrave; 20),560.0,Non meublé,2,,40 m,Appartement,Rennes,710091472
695572327,,B (de 51 &agrave; 90),35000,B (de 6 &agrave; 10),510.0,Non meublé,2,,46 m,Appartement,Rennes,695572327
710066106,,Vierge,35000,Vierge,500.0,Meublé,2,,32 m,Appartement,Rennes,710066106
710039699,,F (de 331 &agrave; 450),35000,F (de 56 &agrave; 80),400.0,Non meublé,2,,35 m,Appartement,Rennes,710039699
710035432,,Vierge,35000,Vierge,360.0,Meublé,2,,34 m,Appartement,Rennes,710035432
710032053,,C (de 91 &agrave; 150),35000,C (de 11 &agrave; 20),330.0,Meublé,1,,15 m,Appartement,Rennes,710032053
710018912,,E (de 231 &agrave; 330),35000,C (de 11 &agrave; 20),330.0,Meublé,1,,11 m,Appartement,Rennes,710018912
705010002,Non,,35000,,511.0,,2,,43 m,Appartement,Rennes,705010002
709997149,,C (de 91 &agrave; 150),35000,D (de 21 &agrave; 35),479.0,Non meublé,2,,43 m,Appartement,Rennes,709997149
710097426,Oui,G (de 451 &agrave; 590),35000,,640.0,Non meublé,4,5202,70 m,Appartement,Rennes,710097426
709990117,,D (de 151 &agrave; 230),35000,C (de 11 &agrave; 20),510.0,Meublé,1,,23 m,Appartement,Rennes,709990117
