,Nom,Prix(€),Informations Supplementaires,Reference url
0,Aerocool Core Plus,14.99,Ventirad Top flow - Socket AMD AM5 / AM4 / AM3(+) / AM2(+) / FM2(+) / FM1 et Intel 115x / 1200 / 775,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ven_puis_ref_est_in11021575.html
1,Aerocool Cylon 3H,39.99,Ventirad Top Flow - PWM - Socket AMD AM5 / AM4 / AM3(+) / AM2(+) / FM1 / FM2 et Intel 115x / 1200 / 775,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ven_puis_ref_est_in20013737.html
2,Aerocool Cylon 4,39.99,Ventirad Tour - PWM - Socket AMD AM5 / AM4 / AM3(+) / AM2(+) / FM2(+) / FM1 et Intel 2066 / 2011(-V3) / 1150 / 115x / 1200 / 775,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ven_puis_ref_est_in11021573.html
3,Aerocool Cylon 4 - Blanc,42.99,Ventirad Tour - PWM - Socket AMD AM5 / AM4 / AM3(+) / AM2(+) / FM2(+) / FM1 et Intel 2066 / 2011(-V3) / 115x / 1200 / 775,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ven_puis_ref_est_in20011050.html
4,Aerocool Mirage 5,44.99,Ventirad Top Flow - PWM - Socket AMD AM5 / AM4 / AM3(+) / AM2(+) / FM2(+) / FM1 et Intel 2066 / 2011(-V3) / 1200 / 115x / 775,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ven_puis_ref_est_in20006286.html
5,Akasa Alucia H4 Plus,49.99,Ventirad Tour - PWM - Socket AMD AM5 / AM4 et Intel 2066 / 2011(-V3) / 115x / 1200 / 1700,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ven_puis_ref_est_in20016749.html
6,Akasa Soho H4 Plus,69.99,Ventirad Tour - PWM - Socket AMD AM5 / AM4 et Intel 2066 / 2011(-V3) / 115x / 1200 / 1700,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ven_puis_ref_est_in20016750.html
7,AMD Wraith Prism,39.99,Ventirad Top flow - PWM - Socket AMD AM5 / AM4 / AM3(+) / FM2(+),https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ven_puis_ref_est_in10118661.html
8,AMD Wraith Spire,14.99,Ventirad Top flow - PWM - Socket AMD AM5 / AM4,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ven_puis_ref_est_in20007528.html
9,Antec A30,16.99,Ventirad Tour - Socket AMD AM4 / AM3(+) / AM2(+) / FM1 et Intel 115x / 1200 / 775,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ven_puis_ref_est_in20002882.html
10,Antec A40 Pro,24.99,Ventirad Tour - PWM - Socket AMD AM5 / AM4 / AM3(+) / AM2(+) / FM2(+) / FM1 et Intel 1366 / 115x / 1200 / 775,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ven_puis_ref_est_in20002889.html
11,Antec A400i RGB,36.99,Ventirad Tour - PWM - Socket AMD AM5 / AM4 / AM3(+) / AM2(+) / FM2(+) / FM1 et Intel  2011(-V3) / 1366 / 115x / 1200  / 1700,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ven_puis_ref_est_in20014460.html
12,Antec C400,39.99,Ventirad Tour - PWM - Socket AMD AM5 / AM4 / AM3(+) / AM2(+) / FM2(+) / FM1 et Intel 2066 / 2011(-V3) / 1366 / 115x / 1200 / 775,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ven_puis_ref_est_in20002890.html
13,Antec FrigusAir 400 ARGB,59.99,Ventirad Tour - PWM - Socket AMD AM4 / AM3(+) / AM2(+) / FM2(+) / FM1 et Intel 2011(-V3) / 1366 / 115x / 1200 / 1700,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ven_puis_ref_est_in20014889.html
14,Arctic Alpine 23 CO,12.99,Ventirad Top flow - PWM - Socket AMD AM4 / AM5,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ven_puis_ref_est_in20006872.html
15,Arctic Freezer 34 eSports DUO - Gris / Blanc,59.99,Ventirad Tour - PWM - Socket AMD AM4 / AM5 et Intel 2066 / 2011(-V3) / 115x / 1200 / 1700,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ven_puis_ref_est_in20012871.html
16,Arctic Freezer 34 eSports DUO - Noir,59.99,Ventirad Tour - PWM - Socket AMD AM4 / AM5 et Intel 2066 / 2011(-V3) / 115x / 1200 / 1700,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ven_puis_ref_est_in20012869.html
17,Arctic Freezer 34 eSports DUO - Noir / Blanc,59.99,Ventirad Tour - PWM - Socket AMD AM4 / AM5 et Intel 2066 / 2011(-V3) / 115x / 1200 / 1700,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ven_puis_ref_est_in20012872.html
18,Arctic Freezer 34 eSports DUO - Noir / Rouge,59.99,Ventirad Tour - PWM - Socket AMD AM4 / AM5 et Intel 2066 / 2011(-V3) / 115x / 1200 / 1700,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ven_puis_ref_est_in20012870.html
19,Arctic Freezer 50 TR,59.99,Ventirad Tour - PWM - Socket AMD TRX4 / TR4,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ven_puis_ref_est_in20002878.html
20,Arctic Freezer 7X,19.99,Ventirad Tour - Socket AMD AM5 / AM4 / AM3(+) / FM2(+) / FM1 et Intel 115x / 1200,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ven_puis_ref_est_in20004991.html
21,Arctic Freezer A35 A-RGB,34.99,Ventirad Tour - PWM - Socket AMD AM5 / AM4,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ven_puis_ref_est_in20011226.html
22,Arctic Freezer i35 A-RGB,34.99,Ventirad Tour - PWM - Socket Intel 115x / 1200 / 1700,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ven_puis_ref_est_in20011225.html
23,be quiet! Dark Rock 4,74.99,Ventirad Tour - PWM - Socket AMD AM5 / AM4 et Intel 2066 / 2011(-V3) / 1700 / 115x / 1200 / 1366,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ven_puis_ref_est_in10111350.html
24,be quiet! Dark Rock Pro 4,94.99,Ventirad Tour - PWM - Socket AMD AM5 / AM4 et Intel 2066 / 2011(-V3) / 1700 / 1366 / 115x / 1200,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ven_puis_ref_est_in10111351.html
25,be quiet! Dark Rock Pro TR4,94.99,Ventirad Tour - PWM - Socket AMD TRX4 / TR4,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ven_puis_ref_est_in10115376.html
26,be quiet! Dark Rock Slim,62.99,Ventirad Tour - PWM - Socket AMD AM5 / AM4 et Intel 2066 / 2011(-V3) / 1700 / 115x / 1200 / 1366,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ven_puis_ref_est_in10119225.html
27,be quiet! Dark Rock TF 2,94.99,Ventirad Top Flow - PWM - Socket AMD AM5 / AM4 / AM3(+) et Intel 2066 / 2011(-V3) / 1700 / 115x / 1200,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ven_puis_ref_est_in20010583.html
28,be quiet! Pure Rock 2 Black,41.99,Ventirad Tour - PWM - Socket AMD AM4 / AM5 et Intel 2066 / 2011(-V3) / 1700 / 115x / 1200,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ven_puis_ref_est_in20002249.html
29,be quiet! Pure Rock 2 FX Black,49.99,Ventirad Tour - PWM - Socket AMD AM4 / AM5 et Intel 2066 / 2011(-V3) / 1700 / 115x / 1200,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ven_puis_ref_est_in20015215.html
30,be quiet! Pure Rock LP,52.99,Ventirad Top Flow - PWM - Socket AMD AM5 / AM4 et Intel 1700 / 115x / 1200,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ven_puis_ref_est_in20015967.html
31,be quiet! Pure Rock Slim 2,27.99,Ventirad Tour - PWM - Socket AMD AM5 / AM4 et Intel 1700 / 1200 / 1155 / 1151 / 1150,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ven_puis_ref_est_in20008363.html
32,be quiet! Shadow Rock 3 - Blanc,59.99,Ventirad Tour - PWM - Socket AMD AM4 / AM5 et Intel 2066 / 2011(-V3) / 1700 / 1200 / 115x,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ven_puis_ref_est_in20005952.html
33,be quiet! Shadow Rock 3 - Noir,54.99,Ventirad Tour - PWM - Socket AMD AM4 / AM5 et Intel 2066 / 2011(-V3) / 1700 / 115x / 1200,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ven_puis_ref_est_in11020878.html
34,be quiet! Shadow Rock LP,47.99,Ventirad Top flow - PWM - Socket AMD AM4 / AM5 et Intel 2066 / 2011(-V3) / 1700 / 1366 / 115x / 1200 / 775,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ven_puis_ref_est_in10089891.html
35,be quiet! Shadow Rock Slim 2,47.99,Ventirad Tour - PWM - Socket AMD AM5 / AM4 et Intel 2066 / 2011(-V3) / 1700 / 115x / 1200,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ven_puis_ref_est_in20010614.html
36,be quiet! Shadow Rock TF2,59.99,Ventirad Top Flow - PWM - Socket AMD AM5 / AM4 / AM3(+) / AM2(+) / FM2(+) / FM1 et Intel 2066 / 2011(-V3) / 1366 / 1150 / 115x / 1200 / 775,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ven_puis_ref_est_in10104883.html
37,Cooler Master Hyper 212 Black Edition (Compatible Socket LGA 1700),42.99,Ventirad Tour - PWM - Socket AMD AM5 / AM4 / AM3(+) / AM2(+) / FM2(+) / FM1 et Intel 2066 / 2011(-V3) / 1366 / 115x / 1200 / 1700,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ven_puis_ref_est_in20013278.html
38,Cooler Master Hyper 212 EVO,39.99,Ventirad Tour - PWM - Socket AMD AM5 / AM4 / AM3(+) / AM2(+) / FM2(+) / FM1 et Intel 2066 / 2011(-V3) / 1700 / 1150 / 1151 / 1155 / 1156 / 775,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ven_puis_ref_est_in20013686.html
39,Cooler Master Hyper 212 RGB Black Edition (Compatible Socket LGA 1700),49.99,Ventirad Tour - PWM - AMD AM5 / AM4 / AM3(+) / AM2(+) / FM2(+) / FM1 et Intel 2066 / 2011(-V3) / 1366 / 115x / 1200 / 1700,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ven_puis_ref_est_in20013190.html
40,Cooler Master Hyper TX3 EVO,23.99,Ventirad Tour - PWM - Socket AMD AM4 / AM3(+) / AM2(+) / FM2(+) / FM1 et Intel 1366 / 115x / 1200 / 775,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ven_puis_ref_est_in10055466.html
41,Cooler Master MasterAir MA612 Stealth,74.99,Ventirad Tour - PWM - Socket AMD AM5 / AM4 / AM3(+) / AM2(+) / FM2(+) / FM1 et Intel 2066 / 2011(-V3) / 1366 / 1200 / 115x,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ven_puis_ref_est_in20008772.html
42,Cooler Master MasterAir MA612 Stealth ARGB,79.99,Ventirad Tour - PWM - Socket AMD AM5 / AM4 / AM3(+) / AM2(+) / FM2(+) / FM1 et Intel 2066 / 2011(-V3) / 1366 / 1200 / 115x,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ven_puis_ref_est_in20008773.html
43,DeepCool AG200,17.99,Ventirad Tour - PWM - Socket AMD AM5 / AM4 et Intel 115x / 1200 / 1700,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ven_puis_ref_est_in20017072.html
44,DeepCool AG300,19.99,Ventirad Tour - PWM - Socket AMD AM5 / AM4 et Intel 115x / 1200 / 1700,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ven_puis_ref_est_in20017071.html
45,DeepCool AK400,39.99,Ventirad Tour - PWM - Socket AMD AM5 / AM4 et Intel 2066 / 2011(-V3) / 1700 / 115x / 1200,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ven_puis_ref_est_in20013367.html
46,DeepCool AK400 - Blanc,44.99,Ventirad Tour - PWM - Socket AMD AM5 / AM4 et Intel 2066 / 2011(-V3) / 1700 / 115x / 1200,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ven_puis_ref_est_in20013669.html
47,DeepCool AK400 Zero Dark,44.99,Ventirad Tour - PWM - Socket AMD AM5 / AM4 et Intel 2066 / 2011(-V3) / 1700 / 115x / 1200,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ven_puis_ref_est_in20015559.html
48,DeepCool AK400 Zero Dark Plus,49.99,Ventirad Tour - PWM - Socket AMD AM5 / AM4 et Intel 2066 / 2011(-V3) / 1700 / 115x / 1200,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ven_puis_ref_est_in20015558.html
49,DeepCool AK500,59.99,Ventirad Tour - PWM - Socket AMD AM5 / AM4 et Intel 2066 / 2011(-V3) / 115x / 1200 / 1700,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_ven_puis_ref_est_in20014731.html
