,Nom,Prix(€),Informations Supplementaires,Reference url
0,Advance GTA 210,16.99,Casque-micro - Circumaural - Son stéréo - Microphone omnidirectionnel rétractable - Compatible PC / PS4 / PS5 / Xbox One / Xbox Series,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccas_puis_ref_est_in20016991.html
1,Antlion Kimura Duo,179.99,Écouteurs gaming - Intra-auriculaires - Microphone inclus - Jack 3.5 mm - Adaptateur en Y inclus - Compatible PC /Mac / Smartphone / Tablette / Consoles,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccas_puis_ref_est_in20016844.html
2,Antlion Kimura Solo,119.99,Écouteurs gaming - Intra-auriculaires - Microphone inclus - Jack 3.5 mm - Adaptateur en Y inclus - Compatible PC /Mac / Smartphone / Tablette / Consoles,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccas_puis_ref_est_in20016843.html
3,AOC GH300 USB 7.1,64.99,Casque-micro gamer 7.1 - PC - USB - RVB,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccas_puis_ref_est_in20009135.html
4,Astro A10 Call of Duty,64.99,Casque-micro gamer - PC / PS4 / Xbox One / Mobiles / Switch - Jack 3.5 mm,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccas_puis_ref_est_in20010446.html
5,Astro A10 Gris (2e Génération),59.99,Casque gaming - Microphone unidirectionnel rétractable - Jack 3.5 mm - Compatible PC / Xbox Series X|S / Xbox One / Playstation 4|5,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccas_puis_ref_est_in20014422.html
6,Astro A10 Gris / Rouge,49.99,Casque-micro gamer - PC / PS4 / Xbox One / Mobiles / Switch - Jack 3.5 mm,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccas_puis_ref_est_in20010428.html
7,Astro A10 Gris/Bleu,49.99,Casque-micro gamer - PC / PS4 / Xbox One / Mobiles / Switch - Jack 3.5 mm,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccas_puis_ref_est_in20010430.html
8,Astro A10 Gris/Vert,64.99,Casque-micro gamer - PC / PS4 / Xbox One / Mobiles / Switch - Jack 3.5 mm,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccas_puis_ref_est_in20010429.html
9,Astro A10 Lilas (2e Génération),59.99,Casque gaming - Microphone unidirectionnel rétractable - Jack 3.5 mm - Compatible PC / Xbox Series X|S / Xbox One / Playstation 4|5,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccas_puis_ref_est_in20014423.html
10,Astro A10 PlayStation Blanc (2e Génération),59.99,Casque gaming - Microphone unidirectionnel rétractable - Jack 3.5 mm - Compatible PC / PlayStation 5 / PlayStation 4,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccas_puis_ref_est_in20014421.html
11,Astro A10 PlayStation Noir (2e Génération),59.99,Casque gaming - Microphone unidirectionnel rétractable - Jack 3.5 mm - Compatible PC / PlayStation 5 / PlayStation 4,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccas_puis_ref_est_in20014420.html
12,Astro A10 Xbox Blanc (2e Génération),59.99,Casque gaming - Microphone unidirectionnel rétractable - Jack 3.5 mm - Compatible PC / Xbox Series X|S / Xbox One,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccas_puis_ref_est_in20014419.html
13,Astro A10 Xbox Noir (2e Génération),59.99,Casque gaming - Microphone unidirectionnel rétractable - Jack 3.5 mm - Compatible PC / Xbox Series X|S / Xbox One,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccas_puis_ref_est_in20014418.html
14,Astro A20 Wireless Gen. 2,119.99,Casque-micro gamer sans-fil - PC / PS4 / PS5 - USB-A,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccas_puis_ref_est_in20010431.html
15,Astro A30 Playstation Blanc/Violet,249.99,Casque- micro gaming - Sans-fil - Microphones détachables ou intégrés - Jack 3.5 mm / Lightspeed 2.4 GHZ / Bluetooth - Compatible Playstation / Nintendo Switch / PC / Mobile iOS / Android,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccas_puis_ref_est_in20014775.html
16,Astro A30 Playstation Bleu Marine/Rouge,249.99,Casque- micro gaming - Sans-fil - Microphones détachables ou intégrés - Jack 3.5 mm / Lightspeed 2.4 GHZ / Bluetooth - Compatible Playstation / Nintendo Switch / PC / Mobile iOS / Android,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccas_puis_ref_est_in20014776.html
17,Astro A30 Xbox Blanc/Violet,249.99,Casque- micro gaming - Sans-fil - Microphones détachables ou intégrés - Jack 3.5 mm / Lightspeed 2.4 GHZ / Bluetooth - Compatible Xbox Series X|S / Xbox One / Nintendo Switch / PC / Mobile iOS / Android,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccas_puis_ref_est_in20014773.html
18,Astro A30 Xbox Bleu Marine/Rouge,249.99,Casque- micro gaming - Sans-fil - Microphones détachables ou intégrés - Jack 3.5 mm / Lightspeed 2.4 GHZ / Bluetooth - Compatible Xbox Series X|S / Xbox One / Nintendo Switch / PC / Mobile iOS / Android,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccas_puis_ref_est_in20014774.html
19,Astro A40,169.99,Casque-micro gamer - PC / PS4  - Jack 3.5 mm,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccas_puis_ref_est_in20000628.html
20,Astro A40 + MixAmp M80,209.99,Casque-micro gamer - PC / XBoxOne - Jack 3.5 mm,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccas_puis_ref_est_in20000634.html
21,Astro A40 + MixAmp Pro,269.99,Casque-micro gamer - PC / PS4 - Jack 3.5 mm + USB,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccas_puis_ref_est_in20000635.html
22,Astro A50 + Station d'accueil (Xbox),339.99,Casque-micro gamer sans-fil - PC / Xbox Série X / Xbox One,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccas_puis_ref_est_in20010432.html
23,Astro A50 Wireless Noir + Base Station (PC/PS4/PS5),239.99,Casque-micro gamer sans-fil - PC / PS4  / PS5 - 7.1,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccas_puis_ref_est_in20010433.html
24,Asus ROG Cetra II,139.99,Ecouteurs intra-auriculaires gamer avec microphone - USB type C - RGB - PC / MAC / Mobile / Consoles,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccas_puis_ref_est_in20008574.html
25,Asus ROG Cetra II Core,69.99,Ecouteurs intra-auriculaires gamer avec microphone - Jack 3.5 mm - PC / MAC / Mobile / Consoles,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccas_puis_ref_est_in20008573.html
26,ASUS ROG Cetra II Core (Moonlight),89.99,Ecouteurs intra-auriculaires gamer avec microphone - Jack 3.5 mm - PC / MAC / Mobile / Consoles,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccas_puis_ref_est_in20014474.html
27,Asus ROG Cetra True Wireless + 40 € remboursés avec Asus,129.99,Écouteurs gaming sans fil - Intra-auriculaires - Microphone omnidirectionnel - Bluetooth - Suppression active du bruit - Boitier de recharge sans fil,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccas_puis_ref_est_in20014684.html
28,Asus ROG Delta,189.99,Casque-micro Gamer Hi-Res avec quadruple DAC - PC / Mac / PS4 - USB - RGB 16.8 M de couleurs,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccas_puis_ref_est_in10118420.html
29,ASUS ROG Delta - White,189.99,Casque-micro Gamer Hi-Res avec quadruple DAC - PC / Mac / PS4 - USB - RGB 16.8 M de couleurs,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccas_puis_ref_est_in11020252.html
30,Asus ROG Delta Core,99.99,Casque-micro gamer - PC / PS4 / Xbox - 1 x Jack 3.5 mm,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccas_puis_ref_est_in10116600.html
31,Asus ROG Delta S,189.99,Casque-micro Gamer Hi-Res avec quadruple DAC - PC / PS4 / Switch - USB - RGB 16.8 M de couleurs,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccas_puis_ref_est_in20006264.html
32,ASUS ROG Delta S Animate,299.99,Casque-micro gaming - circum-auriculaire fermé - Hi-Res Audio - quadruple DAC - microphone antibruit - USB-C - certifié Discord et TeamSpeak - affichage AniMe Matrix - PC/MAC/PS4/PS5/Switch,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccas_puis_ref_est_in20012837.html
33,ASUS ROG Delta S Core (Noir) + 20 € remboursés avec Asus,109.99,Casque-micro gamer- Virtuel 7.1 Surround - Microphone antibruit - USB-C - Certifié Discord / TeamSpeak - PC / PS4|5 / Xbox One|S|X / Switch / Appareils mobiles,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccas_puis_ref_est_in20014748.html
34,Asus ROG Delta S Wireless + 40 € remboursés avec Asus,199.99,Casque-micro Gamer 7.1 - PC / PS4 / Switch - RGB 16.8 M de couleurs - Sans Fil,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccas_puis_ref_est_in20013660.html
35,Asus ROG Fusion II 300 + 30 € remboursés avec Asus,149.99,Casque-micro gamer 7.1 - PC / Xbox / PS / Switch - USB ou 1 x Jack 3.5 mm,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccas_puis_ref_est_in20013114.html
36,ASUS ROG Fusion II 500 + 50 € remboursés avec Asus,219.99,Casque-micro gamer 7.1 - PC / Xbox / PS / Switch - USB ou 1 x Jack 3.5 mm,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccas_puis_ref_est_in20012781.html
37,Asus ROG GO Core (Moonlight),99.99,Casque-micro gamer - PC / PS4 / XBox / Mobile - Jack 3.5 mm,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccas_puis_ref_est_in20010274.html
38,ASUS ROG Strix Go 2.4,199.99,Casque-micro gamer sans fil - PC / PS4 / Switch / Mobile - USB-C + Jack 3.5 mm,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccas_puis_ref_est_in20001221.html
39,ASUS ROG Strix Go 2.4 (Electro Punk),199.99,Casque-micro gamer sans fil - PC / PS4 / Switch / Mobile - USB-C + Jack 3.5 mm,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccas_puis_ref_est_in20003630.html
40,Asus ROG Strix Go BT,229.99,Casque-micro gamer sans fil - PC / MAC / PS5 / Mobile - Bluetooth,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccas_puis_ref_est_in20008572.html
41,ASUS ROG Theta 7.1,289.99,Casque-micro gamer 7.1 - PC / PS4 / Switch / Mobile - USB,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccas_puis_ref_est_in20000629.html
42,ASUS ROG Theta Electret,289.99,Casque-micro gamer  - PC / PS4 / XboxOne / Mobile - 1 x Jack 3.5 mm + 1 x Splitter 3.5 mm,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccas_puis_ref_est_in20000633.html
43,Asus Strix Go USB-C,99.99,Casque-micro gamer - PC / PS4 / Switch / Mobile - USB-C,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccas_puis_ref_est_in20005671.html
44,ASUS TUF Gaming H1,49.99,Casque-micro gamer 7.1 - PC / MAC / PS / XBox / Switch / Smartphone - Jack 3.5 mm,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccas_puis_ref_est_in20013661.html
45,ASUS TUF Gaming H3 - Bleu,59.99,Casque-micro gamer 7.1 - PC / MAC / PS4 / XBox One / Switch / Smartphone - 1 x Jack 3.5 mm ou 2 x Jack 3.5 mm,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccas_puis_ref_est_in20013494.html
46,ASUS TUF Gaming H3 Wireless,89.99,Casque-micro gamer sans fil 7.1 - PC / Mac / PS5 - USB Type C,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccas_puis_ref_est_in20007200.html
47,Asus TUF H1 Wireless,89.99,Casque-micro gamer Sans fil 7.1 - PC / PS4 / PS5 / Switch,https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccas_puis_ref_est_in20012849.html
48,Asus TUF H3 - Argent,49.99,Casque-micro gamer 7.1 - PC / MAC / PS4 / XBox One / Switch / Smartphone - 1 x Jack 3.5 mm ou 2 x Jack 3.5 mm (adaptateur fourni),https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccas_puis_ref_est_in11019096.html
49,Asus TUF H3 - Gris,49.99,Casque-micro gamer 7.1 - PC / MAC / PS4 / XBox One / Switch / Smartphone - 1 x Jack 3.5 mm ou 2 x Jack 3.5 mm (adaptateur fourni),https://www.topachat.com/pages/detail2_cat_est_gaming_puis_rubrique_est_wg_pccas_puis_ref_est_in11019097.html
