,nom_alim,prix_alim,nom_boitier,prix_boitier,nom_ssd,prix_ssd,nom_watercooling,prix_watercooling,prix_total
0,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 Core 2 To,309.99,Antec Vortex 360 ARGB - 360 mm,129.99,779.96
1,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 Core 2 To,309.99,Arctic Liquid Freezer II 280 A-RGB - 280 mm,129.99,779.96
2,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 Core 2 To,309.99,Arctic Liquid Freezer II 360 A-RGB - 360 mm,129.99,779.96
3,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 Core 2 To,309.99,Arctic Liquid Freezer II 420 - 420 mm,137.99,787.96
4,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 Core 2 To,309.99,Arctic Liquid Freezer II 420 A-RGB - 420 mm,144.99,794.96
5,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 Core 2 To,309.99,Asus ROG RYUJIN II - 240 mm,269.99,919.96
6,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 Core 2 To,309.99,Asus ROG RYUJIN II - 360 mm,329.99,979.96
7,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 Core 2 To,309.99,Asus ROG RYUJIN II ARGB V2 - 360 mm,349.99,999.96
8,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 Core 2 To,309.99,Asus ROG RYUO III ARGB - 240 mm,279.99,929.96
9,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 Core 2 To,309.99,Asus ROG RYUO III ARGB - 360 mm,339.99,989.96
10,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 Core 2 To,309.99,Asus ROG RYUO III ARGB Blanc - 360 mm,339.99,989.96
11,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 Core 2 To,309.99,ASUS ROG STRIX LC 240 RGB - Blanc - 240 mm,149.99,799.96
12,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 Core 2 To,309.99,Asus ROG STRIX LC II 120 ARGB - 120 mm,149.99,799.96
13,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 Core 2 To,309.99,Asus ROG STRIX LC II 240 - 240 mm,179.99,829.96
14,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 Core 2 To,309.99,Asus ROG STRIX LC II 240 ARGB Blanc AM5 - 240 mm,199.99,849.96
15,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 Core 2 To,309.99,Asus ROG STRIX LC II 360 ARGB AM5 - 360 mm,259.99,909.96
16,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 Core 2 To,309.99,Asus ROG STRIX LC II 360 ARGB Blanc - 360 mm,259.99,909.96
17,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 Core 2 To,309.99,Asus ROG STRIX LC II V2 - 360 mm,229.99,879.96
18,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 Core 2 To,309.99,Asus TUF LC 240 ARGB V2 - 240 mm,129.99,779.96
19,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 Core 2 To,309.99,be quiet! Pure Loop 2 FX - 240 mm,134.99,784.96
20,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 Core 2 To,309.99,be quiet! Pure Loop 2 FX - 280 mm,144.99,794.96
21,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 Core 2 To,309.99,be quiet! Pure Loop 2 FX - 360 mm,164.99,814.96
22,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 Core 2 To,309.99,be quiet! Pure Loop 360 mm,132.99,782.96
23,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 Core 2 To,309.99,be quiet! Silent Loop 2 - 240 mm,134.99,784.96
24,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 Core 2 To,309.99,be quiet! Silent Loop 2 - 280 mm,159.99,809.96
25,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 Core 2 To,309.99,be quiet! Silent Loop 2 - 280 mm + Kit de montage STRX4 / TR4,162.99,812.96
26,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 Core 2 To,309.99,be quiet! Silent Loop 2 - 360 mm,174.99,824.96
27,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 Core 2 To,309.99,be quiet! Silent Loop 2 - 360 mm + Kit de montage STRX4 / TR4,176.99,826.96
28,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 CORE XT 4 To,339.99,Antec Vortex 360 ARGB - 360 mm,129.99,809.96
29,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 CORE XT 4 To,339.99,Arctic Liquid Freezer II 280 A-RGB - 280 mm,129.99,809.96
30,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 CORE XT 4 To,339.99,Arctic Liquid Freezer II 360 A-RGB - 360 mm,129.99,809.96
31,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 CORE XT 4 To,339.99,Arctic Liquid Freezer II 420 - 420 mm,137.99,817.96
32,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 CORE XT 4 To,339.99,Arctic Liquid Freezer II 420 A-RGB - 420 mm,144.99,824.96
33,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 CORE XT 4 To,339.99,Asus ROG RYUJIN II - 240 mm,269.99,949.96
34,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 CORE XT 4 To,339.99,Asus ROG RYUJIN II - 360 mm,329.99,1009.96
35,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 CORE XT 4 To,339.99,Asus ROG RYUJIN II ARGB V2 - 360 mm,349.99,1029.96
36,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 CORE XT 4 To,339.99,Asus ROG RYUO III ARGB - 240 mm,279.99,959.96
37,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 CORE XT 4 To,339.99,Asus ROG RYUO III ARGB - 360 mm,339.99,1019.96
38,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 CORE XT 4 To,339.99,Asus ROG RYUO III ARGB Blanc - 360 mm,339.99,1019.96
39,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 CORE XT 4 To,339.99,ASUS ROG STRIX LC 240 RGB - Blanc - 240 mm,149.99,829.96
40,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 CORE XT 4 To,339.99,Asus ROG STRIX LC II 120 ARGB - 120 mm,149.99,829.96
41,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 CORE XT 4 To,339.99,Asus ROG STRIX LC II 240 - 240 mm,179.99,859.96
42,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 CORE XT 4 To,339.99,Asus ROG STRIX LC II 240 ARGB Blanc AM5 - 240 mm,199.99,879.96
43,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 CORE XT 4 To,339.99,Asus ROG STRIX LC II 360 ARGB AM5 - 360 mm,259.99,939.96
44,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 CORE XT 4 To,339.99,Asus ROG STRIX LC II 360 ARGB Blanc - 360 mm,259.99,939.96
45,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 CORE XT 4 To,339.99,Asus ROG STRIX LC II V2 - 360 mm,229.99,909.96
46,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 CORE XT 4 To,339.99,Asus TUF LC 240 ARGB V2 - 240 mm,129.99,809.96
47,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 CORE XT 4 To,339.99,be quiet! Pure Loop 2 FX - 240 mm,134.99,814.96
48,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 CORE XT 4 To,339.99,be quiet! Pure Loop 2 FX - 280 mm,144.99,824.96
49,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 CORE XT 4 To,339.99,be quiet! Pure Loop 2 FX - 360 mm,164.99,844.96
50,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 CORE XT 4 To,339.99,be quiet! Pure Loop 360 mm,132.99,812.96
51,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 CORE XT 4 To,339.99,be quiet! Silent Loop 2 - 240 mm,134.99,814.96
52,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 CORE XT 4 To,339.99,be quiet! Silent Loop 2 - 280 mm,159.99,839.96
53,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 CORE XT 4 To,339.99,be quiet! Silent Loop 2 - 280 mm + Kit de montage STRX4 / TR4,162.99,842.96
54,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 CORE XT 4 To,339.99,be quiet! Silent Loop 2 - 360 mm,174.99,854.96
55,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 CORE XT 4 To,339.99,be quiet! Silent Loop 2 - 360 mm + Kit de montage STRX4 / TR4,176.99,856.96
56,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 Pro XT HydroX 2 To,319.99,Antec Vortex 360 ARGB - 360 mm,129.99,789.96
57,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 Pro XT HydroX 2 To,319.99,Arctic Liquid Freezer II 280 A-RGB - 280 mm,129.99,789.96
58,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 Pro XT HydroX 2 To,319.99,Arctic Liquid Freezer II 360 A-RGB - 360 mm,129.99,789.96
59,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 Pro XT HydroX 2 To,319.99,Arctic Liquid Freezer II 420 - 420 mm,137.99,797.96
60,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 Pro XT HydroX 2 To,319.99,Arctic Liquid Freezer II 420 A-RGB - 420 mm,144.99,804.96
61,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 Pro XT HydroX 2 To,319.99,Asus ROG RYUJIN II - 240 mm,269.99,929.96
62,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 Pro XT HydroX 2 To,319.99,Asus ROG RYUJIN II - 360 mm,329.99,989.96
63,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 Pro XT HydroX 2 To,319.99,Asus ROG RYUJIN II ARGB V2 - 360 mm,349.99,1009.96
64,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 Pro XT HydroX 2 To,319.99,Asus ROG RYUO III ARGB - 240 mm,279.99,939.96
65,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 Pro XT HydroX 2 To,319.99,Asus ROG RYUO III ARGB - 360 mm,339.99,999.96
66,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 Pro XT HydroX 2 To,319.99,Asus ROG RYUO III ARGB Blanc - 360 mm,339.99,999.96
67,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 Pro XT HydroX 2 To,319.99,ASUS ROG STRIX LC 240 RGB - Blanc - 240 mm,149.99,809.96
68,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 Pro XT HydroX 2 To,319.99,Asus ROG STRIX LC II 120 ARGB - 120 mm,149.99,809.96
69,Antec HCG1000 Gold - 1000W,199.99,Antec P101 Silent,139.99,Corsair MP600 Pro XT HydroX 2 To,319.99,Asus ROG STRIX LC II 240 - 240 mm,179.99,839.96
