,Nom,Prix(€),Informations Supplementaires,Reference url
0,AMD Radeon RX 6950 XT + The Last of Us Part 1 offert !,799.99,Carte graphique - Avec backplate - Compatible VR,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wgfx_pcie_puis_ref_est_in20014334.html
1,AORUS GeForce RTX 4070 Ti ELITE + Passe de combat ultime Overwatch 2 offert !,1129.99,Carte graphique - Refroidissement semi-passif (mode 0 dB) - Avec backplate - Compatible VR,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wgfx_pcie_puis_ref_est_in20016516.html
2,AORUS GeForce RTX 4070 Ti MASTER + Passe de combat ultime Overwatch 2 offert !,1159.99,Carte graphique - Refroidissement semi-passif (mode 0 dB) - Avec backplate - Compatible VR,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wgfx_pcie_puis_ref_est_in20016515.html
3,AORUS GeForce RTX 4080 MASTER + Passe de combat ultime Overwatch 2 offert !,1749.99,Carte graphique - Refroidissement semi-passif (mode 0 dB) - Avec backplate - Compatible VR,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wgfx_pcie_puis_ref_est_in20016004.html
4,AORUS GeForce RTX 4080 XTREME WATERFORCE + Passe de combat ultime Overwatch 2 offert !,1789.99,Carte graphique - Refroidissement hybride et semi-passif (mode 0 dB) - Avec backplate - Compatible VR,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wgfx_pcie_puis_ref_est_in20015948.html
5,AORUS GeForce RTX 4080 XTREME WATERFORCE WB + Passe de combat ultime Overwatch 2 offert !,1699.99,Carte graphique - Waterblock intégré - Avec backplate - Compatible VR,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wgfx_pcie_puis_ref_est_in20015766.html
6,AORUS GeForce RTX 4090 MASTER 24G + Passe de combat ultime Overwatch 2 offert !,2199.99,Carte graphique - Refroidissement semi-passif (mode 0 dB) - Avec backplate - Compatible VR,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wgfx_pcie_puis_ref_est_in20015947.html
7,AORUS GeForce RTX 4090 XTREME WATERFORCE + Passe de combat ultime Overwatch 2 offert !,2299.99,Carte graphique - Refroidissement hybride et semi-passif (mode 0 dB) - Avec backplate - Compatible VR,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wgfx_pcie_puis_ref_est_in20015089.html
8,AORUS Radeon RX 7900 XTX ELITE 24G + The Last of Us Part 1 offert !,1329.99,Carte graphique overclockée - Refroidissement semi-passif (mode 0 dB) - Avec backplate - Compatible VR,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wgfx_pcie_puis_ref_est_in20017486.html
9,ASRock Radeon RX 6400 Challenger ITX + The Last of Us Part 1 offert !,189.99,Carte graphique - Refroidissement semi-passif (mode 0 dB) - Compatible VR,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wgfx_pcie_puis_ref_est_in20013328.html
