,Nom,Prix(€),Informations Supplementaires,Reference url
0,Seagate BarraCuda 1 To,40.99,"Disque dur 3.5"" - 7200 tpm - 64 Mo - SATA III - Bulk",https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wdi_sata_puis_ref_est_in10100245.html
1,Seagate BarraCuda 2 To,54.99,"Disque dur 3.5"" - 7200 tpm - 256 Mo - SATA III - Bulk",https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wdi_sata_puis_ref_est_in10113616.html
2,Seagate BarraCuda 2 To,54.99,"Disque dur 3.5"" - 5400 tpm - 256 Mo - SATA III - Bulk",https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wdi_sata_puis_ref_est_in11011697.html
3,Seagate BarraCuda 3 To,86.99,"Disque dur 3.5"" - 5400 tpm - 256 Mo - SATA III - Bulk",https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wdi_sata_puis_ref_est_in10112869.html
4,Seagate BarraCuda 4 To,85.99,"Disque dur 3.5"" - 5400 tpm - 256 Mo - SATA III - Bulk",https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wdi_sata_puis_ref_est_in10106812.html
5,Seagate BarraCuda 6 To,129.99,"Disque dur 3.5"" - 5400 tpm - 256 Mo - SATA III - Bulk",https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wdi_sata_puis_ref_est_in10110283.html
6,Seagate BarraCuda 8 To,139.99,"Disque dur 3.5"" - 5400 tpm - 256 Mo - SATA III - Bulk",https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wdi_sata_puis_ref_est_in10110284.html
7,Seagate Exos 7E8 2 To,139.99,"Disque dur 3.5"" - 7200 tpm - 256 Mo - SATA III - Bulk",https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wdi_sata_puis_ref_est_in20009441.html
8,Seagate Exos 7E8 4 To,164.99,"Disque dur 3.5"" - 7200 tpm - 256 Mo - SATA III - Bulk",https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wdi_sata_puis_ref_est_in20013425.html
9,Seagate Exos 7E8 8 To,249.99,"Disque dur 3.5"" - 7200 tpm - 256 Mo - SATA III - Bulk",https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wdi_sata_puis_ref_est_in20013426.html
10,Seagate FireCuda HDD 8 To,245.99,"Disque dur 3.5"" - 7200 tpm - 256 Mo - SATA III - Bulk",https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wdi_sata_puis_ref_est_in20012903.html
