,Nom,Prix(€),Informations Supplementaires,Reference url
0,Aerocool Baraf - 1 g,4.99,Pâte thermique,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_path_puis_ref_est_in10112814.html
1,Aerocool Cog - 2 g,4.99,Pâte thermique,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_path_puis_ref_est_in20005713.html
2,Aerocool Cog - 4 g,9.99,Pâte thermique,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_path_puis_ref_est_in20006886.html
3,Akasa AK-455 (5 g) + Lingettes nettoyantes,12.99,Pâte thermique,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_path_puis_ref_est_in20009296.html
4,Akasa AK-455-2G - 2 g,5.99,Pâte thermique,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_path_puis_ref_est_in10023241.html
5,Akasa AK-TCW-02,8.99,Lot de 10 lingettes nettoyantes pour pâte thermique,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_path_puis_ref_est_in20010615.html
6,Arctic Cooling MX-4 - 4 g,9.99,Pâte thermique haute performance,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_path_puis_ref_est_in10086862.html
7,Arctic MX-4 - 2 g,7.99,Pâte thermique haute performance,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_path_puis_ref_est_in20001381.html
8,Arctic MX-4 - 20 g,23.99,Pâte thermique haute performance,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_path_puis_ref_est_in10118286.html
9,Arctic MX-4 - 4 g,8.99,Pâte thermique haute performance,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_path_puis_ref_est_in10118287.html
10,Arctic MX-4 - 45 g,44.99,Pâte thermique haute performance,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_path_puis_ref_est_in20001380.html
11,Arctic MX-4 - 8 g,11.99,Pâte thermique haute performance,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_path_puis_ref_est_in20002911.html
12,Arctic MX-6 - 2 g,7.99,Pâte thermique haute performance,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_path_puis_ref_est_in20015812.html
13,Arctic MX-6 - 4 g,13.99,Pâte thermique haute performance,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_path_puis_ref_est_in20015813.html
14,Arctic MX-6 - 4 g + MX Cleaner,14.99,Pâte thermique haute performance,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_path_puis_ref_est_in20015814.html
15,Arctic MX-6 - 8 g,19.99,Pâte thermique haute performance,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_path_puis_ref_est_in20015815.html
16,Arctic Silver 5 - 12 g,24.99,Pâte thermique haute performance,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_path_puis_ref_est_in10118285.html
17,Arctic Silver 5 - 3.5 g,12.99,Pâte thermique haute performance,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_path_puis_ref_est_in20002776.html
