,Nom,Prix(€),Informations Supplementaires,Reference url
0,AMD Ryzen 3 3200G (3.6 GHz),104.99,Processeur Socket AM4 - Quad Core - Cache 6 Mo - Picasso - Radeon RX Vega 8,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wpr_puis_ref_est_in11016972.html
1,AMD Ryzen 3 3200G (3.6 GHz) - Version Tray,102.99,Processeur Socket AM4 - Quad Core - Cache 6 Mo - Picasso - Radeon RX Vega 8,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wpr_puis_ref_est_in20013182.html
2,AMD Ryzen 3 4100 (3.8 GHz),92.99,Processeur Socket AM4 - Quad Core - Cache 6 Mo - Renoir,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wpr_puis_ref_est_in20013402.html
3,AMD Ryzen 3 4100 (3.8 GHz) - Version Bulk,114.99,Processeur Socket AM4 - Quad Core - Cache 6 Mo - Renoir,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wpr_puis_ref_est_in20013180.html
4,AMD Ryzen 3 4300G (3.8GHz),119.99,Processeur Socket AM4 - Quad Core - Cache 6 Mo - Renoir - Radeon Vega 6,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wpr_puis_ref_est_in20017609.html
5,AMD Ryzen 5 3400G (3.7 GHz),134.99,Processeur Socket AM4 - Quad Core - Cache 6 Mo - Picasso - Radeon RX Vega 11,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wpr_puis_ref_est_in11016971.html
6,AMD Ryzen 5 3600 (3.6 GHz),99.99,Processeur Socket AM4 - Hexa Core - Cache 36 Mo - Matisse - Ventirad non inclus,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wpr_puis_ref_est_in20014109.html
7,AMD Ryzen 5 4500 (3.6 GHz),109.99,Processeur Socket AM4 - Hexa Core - Cache 11 Mo - Renoir,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wpr_puis_ref_est_in20013396.html
8,AMD Ryzen 5 4600G (3.7 GHz),127.99,Processeur Socket AM4 - Hexa Core - Cache 8 Mo - Renoir - Radeon RX Vega 7,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wpr_puis_ref_est_in20013452.html
9,AMD Ryzen 5 5500 (3.6 GHz),114.99,Processeur Socket AM4 - Hexa Core - Cache 16 Mo - Cezanne - Ventirad inclus,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wpr_puis_ref_est_in20013009.html
10,AMD Ryzen 5 5600 (3.5 GHz),179.99,Processeur Socket AM4 - Hexa Core - Cache 35 Mo - Vermeer - Ventirad inclus,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wpr_puis_ref_est_in20013054.html
11,AMD Ryzen 5 5600G (3.9 GHz),169.99,Processeur Socket AM4 - Hexa Core - Cache 19 Mo - Cezanne - Radeon Vega 7,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wpr_puis_ref_est_in20010425.html
12,AMD Ryzen 5 5600X (3.7 GHz),199.99,Processeur Socket AM4 - Hexa Core - Cache 35 Mo - Vermeer,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wpr_puis_ref_est_in20005853.html
13,AMD Ryzen 5 7600 (4.0 GHz) + STAR WARS Jedi: Survivor offert !,289.99,Processeur Socket AM5 - Hexa Core - Cache 32 Mo - Raphael,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wpr_puis_ref_est_in20016170.html
14,AMD Ryzen 5 7600X (4.7 GHz) + STAR WARS Jedi: Survivor offert !,299.99,Processeur Socket AM5 - Hexa Core - Cache 32 Mo - Raphael - Ventirad non inclus,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wpr_puis_ref_est_in20014717.html
15,AMD Ryzen 5 PRO 4650G (3.7 GHz) - Version Bulk,199.99,Processeur Socket AM4 - Hexa Core - Cache 11 Mo - Renoir - Radeon RX Vega 7,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wpr_puis_ref_est_in20008151.html
16,AMD Ryzen 5 PRO 5650G (3.9 GHz) - Version Bulk,249.99,Processeur Socket AM4 - Hexa Core - Cache 19 Mo - Cezanne - Radeon Vega 7 - Ventirad inclus,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wpr_puis_ref_est_in20011911.html
